Year,School Name,Suburb,Sector,Type,Latitude,Longitude,Remoteness,Remoteness Category,LGA
2020,Ballarat Primary School (Dana Street),BALLARAT,Government,Primary,-37.56401278,143.853936,1,Inner Regional,Ballarat (C)
2020,Wodonga Primary School,WODONGA,Government,Primary,-36.129214,146.88982,1,Inner Regional,Wodonga (C)
2020,Berwick Primary School,BERWICK,Government,Primary,-38.044178,145.353743,0,Major Cities,Casey (C)
2020,Beaufort Primary School,BEAUFORT,Government,Primary,-37.43852098,143.3817175,1,Inner Regional,Pyrenees (S)
2020,Cheltenham Primary School,CHELTENHAM,Government,Primary,-37.968608,145.054635,0,Major Cities,Bayside (C)
2020,Cudgee Primary School,CUDGEE,Government,Primary,-38.347938,142.650844,1,Inner Regional,Moyne (S)
2020,Newport Lakes Primary School,NEWPORT,Government,Primary,-37.838424,144.878345,0,Major Cities,Hobsons Bay (C)
2020,Cavendish Primary School,CAVENDISH,Government,Primary,-37.53087,142.039893,2,Outer Regional,Southern Grampians (S)
2020,Colac Primary School,COLAC,Government,Primary,-38.337224,143.598336,1,Inner Regional,Colac-Otway (S)
2020,Castlemaine Primary School,CASTLEMAINE,Government,Primary,-37.066595,144.222329,1,Inner Regional,Mount Alexander (S)
2020,Campbells Creek Primary School,CAMPBELLS CREEK,Government,Primary,-37.092935,144.204662,1,Inner Regional,Mount Alexander (S)
2020,Creswick Primary School,CRESWICK,Government,Primary,-37.42441331,143.8919034,1,Inner Regional,Hepburn (S)
2020,California Gully Primary School,CALIFORNIA GULLY,Government,Primary,-36.733207,144.249857,1,Inner Regional,Greater Bendigo (C)
2020,St Andrews Primary School,ST ANDREWS,Government,Primary,-37.60213735,145.2699467,1,Inner Regional,Nillumbik (S)
2020,Warrnambool West Primary School,WARRNAMBOOL,Government,Primary,-38.366338,142.466796,1,Inner Regional,Warrnambool (C)
2020,Dromana Primary School,DROMANA,Government,Primary,-38.339644,144.959653,0,Major Cities,Mornington Peninsula (S)
2020,Doncaster Primary School,DONCASTER,Government,Primary,-37.786804,145.129673,0,Major Cities,Manningham (C)
2020,Echuca Primary School,ECHUCA,Government,Primary,-36.128198,144.747463,1,Inner Regional,Campaspe (S)
2020,Eltham Primary School,ELTHAM,Government,Primary,-37.72498353,145.1478042,0,Major Cities,Nillumbik (S)
2020,Eaglehawk Primary School,EAGLEHAWK,Government,Primary,-36.720628,144.254602,1,Inner Regional,Greater Bendigo (C)
2020,Elphinstone Primary School,ELPHINSTONE,Government,Primary,-37.10500363,144.3329025,1,Inner Regional,Mount Alexander (S)
2020,Hallam Primary School,HALLAM,Government,Primary,-38.00137458,145.2581778,0,Major Cities,Casey (C)
2020,Flemington Primary School,FLEMINGTON,Government,Primary,-37.78119802,144.9334528,0,Major Cities,Moonee Valley (C)
2020,Footscray Primary School,FOOTSCRAY,Government,Primary,-37.798383,144.892669,0,Major Cities,Maribyrnong (C)
2020,Gisborne Primary School,GISBORNE,Government,Primary,-37.4908591,144.5884416,1,Inner Regional,Macedon Ranges (S)
2020,Sandringham Primary School,SANDRINGHAM,Government,Primary,-37.94751516,145.008764,0,Major Cities,Bayside (C)
2020,Wandiligong Primary School,WANDILIGONG,Government,Primary,-36.768862,146.982923,2,Outer Regional,Alpine (S)
2020,Grovedale Primary School,GROVEDALE,Government,Primary,-38.197238,144.347794,0,Major Cities,Greater Geelong (C)
2020,Hawthorn West Primary School,HAWTHORN,Government,Primary,-37.820112,145.018377,0,Major Cities,Boroondara (C)
2020,Heidelberg Primary School,HEIDELBERG,Government,Primary,-37.754705,145.067799,0,Major Cities,Banyule (C)
2020,Hamilton (Gray Street) Primary School,HAMILTON,Government,Primary,-37.744914,142.021384,1,Inner Regional,Southern Grampians (S)
