Calendar Year,ACARA SML ID,AGE ID,School Name,Suburb,State,Postcode,School Sector,School Type,Campus Type,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%),Boys to Girls Ratio
2020,44954,9259,Knox Park Primary School,Knoxfield,VIC,3180,Government,Primary,School Single Entity,Individual Reporting,http://www.knoxparkps.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,1052,71,15,27,37,22,26,21.7,12,8.1,303,153,150,303,1,20,80,0,0.003214607
2020,49141,23696,Peter Carnley Anglican Community School,Wellard,WA,6170,Independent,Combined,School Head Campus,Rolled Reporting,http://www.pcacs.wa.edu.au,Association of Independent Schools of WA,https://www.ais.wa.edu.au/,PP-12,Major Cities,1056,72,12,31,33,24,67,63.4,37,30.2,911,461,450,911,1,23,74,2,0.001069183
2020,49495,16485,Open Access College,Marden,SA,5070,Government,Combined,School Head Campus,Rolled Reporting,http://www.openaccess.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,"U, R-12",Major Cities,1020,56,25,35,26,14,124,107.5,36,31.6,4480,2269,2211,1058.9,5,5,95,0,0.000217413
2020,47793,726,Star of the Sea Catholic Primary School,Gladstone,QLD,4680,Catholic,Primary,School Single Entity,Individual Reporting,http://www.staroftheseagladstone.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,Prep-6,Inner Regional,1021,57,21,33,28,18,22,18.3,18,10.1,301,152,149,301,8,15,85,0,0.003235403
2020,46320,13549,St Mary's Coptic Orthodox College,Coolaroo,VIC,3048,Independent,Combined,School Single Entity,Individual Reporting,http://www.copticvic.org,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1017,55,28,25,28,19,75,70.7,21,19.2,826,418,408,826,0,98,2,0,0.00117887
2020,41583,6466,Canley Vale High School,Canley Vale,NSW,2166,Government,Secondary,School Single Entity,Individual Reporting,https://canleyvale-h.schools.nsw.gov.au/,Department of Education NSW,https://education.nsw.gov.au/,7-Dec,Major Cities,952,24,56,26,12,5,105,114.4,17,17,1574,797,777,1570.9,0,96,4,0,0.000618605
2020,43458,1960,St Raphael's Catholic Primary School,South Hurstville,NSW,2221,Catholic,Primary,School Single Entity,Individual Reporting,http://strhurstville.catholic.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,K-6,Major Cities,1133,93,1,9,32,58,19,13.1,5,2.2,224,113,111,224,0,84,16,0,0.004346805
2020,47152,51364,Cannon Hill State School,Cannon Hill,QLD,4170,Government,Primary,School Single Entity,Individual Reporting,http://www.cannonhillss.eq.edu.au,Department of Education Queensland,https://education.qld.gov.au/,Prep-6,Major Cities,1065,75,13,24,31,32,24,19.9,19,8.8,299,151,148,299,4,30,70,0,0.003256469
2020,44866,5444,Antonio Park Primary School,Mitcham,VIC,3132,Government,Primary,School Single Entity,Individual Reporting,http://www.antoniops.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,1102,86,5,15,31,49,35,30.8,12,6.4,522,264,258,521.4,3,23,76,1,0.001865105
2020,47348,51750,Karalee State School,Karalee,QLD,4306,Government,Primary,School Single Entity,Individual Reporting,http://www.karaleess.eq.edu.au,Department of Education Queensland,https://education.qld.gov.au/,Prep-6,Major Cities,1044,67,13,34,35,19,39,35.6,24,16.3,595,301,294,595,3,4,96,0,0.001636151
2020,41736,10834,Lapstone Public School,Glenbrook,NSW,2773,Government,Primary,School Single Entity,Individual Reporting,https://lapstone-p.schools.nsw.gov.au/,Department of Education NSW,https://education.nsw.gov.au/,K-6,Major Cities,1131,92,3,14,30,53,13,12.3,3,2.4,222,112,110,222,0,10,90,0,0.004384916
2020,45119,14997,Langwarrin Park Primary School,Langwarrin,VIC,3910,Government,Primary,School Single Entity,Individual Reporting,http://www.langwarrinparkps.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,1014,53,24,39,26,10,49,40.5,17,12,668,338,330,668,2,3,93,4,0.001457262
2020,45413,6279,Lalor Secondary College,Lalor,VIC,3075,Government,Secondary,School Single Entity,Individual Reporting,http://www.lalorsc.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-Dec,Major Cities,955,25,56,26,15,3,101,92,30,23.5,1112,563,549,1111.7,1,71,29,0,0.000875364
2020,50332,16504,Grange Primary School,Grange,SA,5022,Government,Primary,School Single Entity,Individual Reporting,http://www.grangesch.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1071,77,11,24,32,33,45,40.8,24,15.9,741,375,366,741,2,18,82,0,0.001313636
2020,52269,84829,Harrisdale Senior High School,Harrisdale,WA,6112,Government,Secondary,School Single Entity,Individual Reporting,https://harrisdaleshs.wa.edu.au/,Department of Education Western Australia,https://www.education.wa.edu.au/,7-Oct,Major Cities,1041,66,16,33,32,19,80,78.2,27,25,1258,637,621,1258,2,44,53,4,0.000773732
2020,44709,10906,Red Cliffs East Primary School,Red Cliffs,VIC,3496,Government,Primary,School Single Entity,Individual Reporting,http://www.rceps.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Outer Regional,960,27,44,36,16,4,14,12.7,6,3.4,147,74,73,147,8,4,93,3,0.006621315
2020,47950,13754,Silkwood School,Mount Nathan,QLD,4211,Independent,Combined,School Single Entity,Individual Reporting,http://www.silkwood.qld.edu.au/,Independent Schools Queensland,https://www.isq.qld.edu.au/,Prep-12,Major Cities,1069,76,8,26,36,29,45,44.4,27,24.7,662,335,327,662,2,3,97,0,0.001470112
2020,50333,7017,East Adelaide School,St Peters,SA,5069,Government,Primary,School Single Entity,Individual Reporting,http://www.eas.sa.edu.au,Department for Education South Australia,https://www.education.sa.gov.au/,R-7,Major Cities,1121,90,2,14,31,53,45,38.4,22,14.6,735,372,363,734,1,31,69,0,0.001324069
2020,46831,51274,Woodridge North State School,Woodridge,QLD,4114,Government,Primary,School Single Entity,Individual Reporting,http://www.woodridgenorthss.eq.edu.au,Department of Education Queensland,https://education.qld.gov.au/,Prep-6,Major Cities,917,13,64,25,9,2,41,37.5,33,20.8,514,260,254,514,12,47,53,0,0.001893346
2020,45280,28835,Lyndale Greens Primary School,Dandenong North,VIC,3175,Government,Primary,School Single Entity,Individual Reporting,http://www.lyndalegreensps.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,961,28,48,26,20,6,48,43.5,20,13.3,587,297,290,585.8,2,82,18,0,0.001657844
2020,43204,13988,Bethany Catholic Primary School,Glenmore Park,NSW,2745,Catholic,Primary,School Single Entity,Individual Reporting,http://www.bethanyglenmorepark.catholic.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,K-6,Major Cities,1054,71,12,30,34,24,37,29.9,22,13.8,585,296,289,585,3,14,86,0,0.001663357
2020,48162,46700,Beverley District High School,Beverley,WA,6304,Government,Combined,School Single Entity,Individual Reporting,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4060,Department of Education Western Australia,https://www.education.wa.edu.au/,K-10,Outer Regional,966,30,43,27,24,7,17,11.6,12,8,145,73,72,139.8,11,11,89,0,0.006710158
2020,48927,135,Sacred Heart School,Mundaring,WA,6073,Catholic,Primary,School Single Entity,Individual Reporting,http://www.sacredheartps.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-6,Major Cities,1060,73,11,28,36,24,11,10.4,7,4.3,145,73,72,145,2,4,96,0,0.006710158
2020,50014,7940,Berry Springs Primary School,Berry Springs,NT,838,Government,Primary,School Single Entity,Individual Reporting,http://www.berryspringsprimary.nt.edu.au,Department of Education Northern Territory,https://education.nt.gov.au/,P-6,Outer Regional,944,21,45,33,18,5,17,13.6,10,8.7,218,110,108,217.6,17,13,87,0,0.004463179
2020,41752,10792,Bidwill Public School,Bidwill,NSW,2770,Government,Primary,School Single Entity,Individual Reporting,https://bidwill-p.schools.nsw.gov.au/,Department of Education NSW,https://education.nsw.gov.au/,P-6,Major Cities,825,3,86,12,3,0,28,29.6,16,11.6,360,182,178,360,30,46,54,0,0.002701882
2020,43262,1983,St Thomas' Catholic Primary School,Willoughby,NSW,2068,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stwdbb.catholic.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,K-6,Major Cities,1171,98,0,3,19,78,22,18.2,4,2.7,360,182,178,360,0,21,79,0,0.002701882
2020,43328,13178,St John the Evangelist Catholic High School,Nowra,NSW,2541,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.sjedow.catholic.edu.au,Catholic Schools NSW,https://www.csnsw.catholic.edu.au/,7-Dec,Inner Regional,1028,60,18,33,30,19,85,73.6,34,24.2,936,474,462,936,7,6,94,0,0.001039136
2020,47468,51636,Beaudesert State High School,Beaudesert,QLD,4285,Government,Secondary,School Single Entity,Individual Reporting,http://www.beaudesertshs.eq.edu.au,Department of Education Queensland,https://education.qld.gov.au/,7-Dec,Inner Regional,945,21,52,32,13,3,107,102.1,61,43,1368,693,675,1368,11,4,96,0,0.000710981
2020,44785,9438,Frankston East Primary School,Frankston,VIC,3199,Government,Primary,School Single Entity,Individual Reporting,http://www.frankstoneastps.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,949,23,59,30,11,1,13,10.4,6,3.6,143,72,71,143,3,16,80,4,0.006801418
2020,43936,1421,Macarthur Adventist College,Macquarie Fields,NSW,2564,Independent,Combined,School Single Entity,Individual Reporting,http://www.macarthur.adventist.edu.au,Association of Independent Schools of NSW,https://www.aisnsw.edu.au/,K-12,Major Cities,1018,55,24,30,30,16,45,43.3,21,14.5,646,327,319,646,5,52,16,32,0.001505512
2020,48082,17893,Peace Lutheran College,Kamerunga,QLD,4870,Independent,Combined,School Single Entity,Individual Reporting,http://www.plc.qld.edu.au,Lutheran Education Queensland,https://www.leq.lutheran.edu.au,Prep-12,Outer Regional,1060,73,10,21,31,38,55,45.4,44,27.8,646,327,319,645.8,11,27,73,0,0.001505512
2020,46780,48599,Milton State School,Milton,QLD,4064,Government,Primary,School Single Entity,Individual Reporting,http://www.miltonss.eq.edu.au,Department of Education Queensland,https://education.qld.gov.au/,Prep-6,Major Cities,1156,96,1,6,23,70,53,44.2,24,14.9,715,362,353,715,2,15,85,0,0.001360072
2020,46040,2468,St Thomas the Apostle School,Greensborough,VIC,3088,Catholic,Primary,School Single Entity,Individual Reporting,http://www.stgreensboroughnth.catholic.edu.au,Catholic Education Commission of Victoria,https://www.cecv.catholic.edu.au/,Prep-6,Major Cities,1087,82,6,22,36,36,32,25.4,14,9.7,356,180,176,356,0,18,82,0,0.002731392
2020,45394,8003,Gladstone Park Secondary College,Gladstone Park,VIC,3043,Government,Secondary,School Single Entity,Individual Reporting,http://www.gladstoneparksc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-Dec,Major Cities,996,44,35,35,22,8,135,116.9,38,31.6,1640,831,809,1639.4,0,46,54,0,0.0005929
2020,41771,14955,Minchinbury Public School,Minchinbury,NSW,2770,Government,Primary,School Single Entity,Individual Reporting,https://minchinbur-p.schools.nsw.gov.au/,Department of Education NSW,https://education.nsw.gov.au/,K-6,Major Cities,983,38,39,32,21,8,27,30.4,5,4,498,252,246,498,6,53,47,0,0.001952474
2020,44719,9069,Hughesdale Primary School,Hughesdale,VIC,3166,Government,Primary,School Single Entity,Individual Reporting,http://www.hughesdaleps.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-6,Major Cities,1135,93,3,10,28,59,40,37,11,7.6,569,288,281,569,1,42,58,0,0.00170882
