LGA,REGION,Total Persons,  Year 12 or equivalent,  Year 11 or equivalent,  Year 10 or equivalent,  Year 9 or equivalent,  Year 8 or below,  Did not go to school,  Not stated
  Western Plains Regional,  Western Plains Regional (A),31426,12777,2052,10808,2779,1924,128,958
  Willoughby,  Willoughby (C),46775,38877,1270,3835,853,1047,395,509
  Wingecarribee,  Wingecarribee (A),32482,16317,2074,9783,2264,1144,104,801
  Wollondilly,  Wollondilly (A),31112,12466,2009,11801,2522,1294,114,910
  Wollongong,  Wollongong (C),130920,60184,7582,39772,10114,8527,1285,3448
  Woollahra,  Woollahra (A),35413,30604,1051,2366,470,325,83,510
  Yass Valley,  Yass Valley (A),10152,5838,636,2530,507,367,27,249
  Alpine,  Alpine (S),8566,3595,1531,1852,625,592,42,323
  Ararat ,  Ararat (RC),7673,2863,1459,1546,717,729,70,289
  Ballarat,  Ballarat (C),65371,30860,10419,12401,5269,4180,237,2006
  Banyule,  Banyule (C),80370,51548,9120,9340,3703,4345,665,1639
  Bass Coast,  Bass Coast (S),23006,9158,3917,5089,2210,1602,84,946
  Baw Baw,  Baw Baw (S),32016,13066,5665,7181,2876,2199,129,904
  Bayside,  Bayside (C),63111,46925,6141,5329,1619,1750,268,1087
  Benalla ,  Benalla (RC),9721,3662,1848,2105,876,815,33,388
  Boroondara,  Boroondara (C),104209,84492,7117,5678,1816,2822,709,1569
  Brimbank,  Brimbank (C),122426,66543,11536,15324,6609,14074,4742,3597
  Buloke,  Buloke (S),4224,1415,828,911,438,446,8,176
  Campaspe,  Campaspe (S),25089,8342,4679,6033,2721,2232,91,1000
  Cardinia,  Cardinia (S),58566,27735,9707,12341,4469,2851,244,1220
  Casey,  Casey (C),184242,101850,23331,30116,10902,10469,3510,4065
  Central Goldfields,  Central Goldfields (S),9253,2897,1500,2310,1100,1003,34,398
  Colac-Otway,  Colac-Otway (S),14403,5563,2692,2966,1291,1214,140,533
  Corangamite,  Corangamite (S),10741,3815,2132,2242,1122,982,33,414
  Darebin,  Darebin (C),93058,61072,7210,7766,3569,9026,2241,2178
  East Gippsland,  East Gippsland (S),31303,11521,5296,7395,3191,2458,118,1311
  Frankston,  Frankston (C),88665,43678,13893,17515,6337,4283,422,2542
  Gannawarra,  Gannawarra (S),7436,2088,1454,1843,926,802,20,306
  Glen Eira,  Glen Eira (C),89676,68008,6939,6702,2173,3696,676,1490
  Glenelg,  Glenelg (S),13434,4399,2702,3144,1417,1264,37,475
  Golden Plains,  Golden Plains (S),13763,5877,2708,2969,1127,721,22,341
  Greater Bendigo,  Greater Bendigo (C),71578,31169,11496,15193,6319,4830,408,2176
  Greater Dandenong,  Greater Dandenong (C),96059,52350,7703,11739,5294,10371,5922,2675
  Greater Geelong,  Greater Geelong (C),152171,73835,24901,26799,11074,10068,1028,4467
  Greater Shepparton,  Greater Shepparton (C),40475,16072,6837,8257,3642,3573,697,1393
  Hepburn,  Hepburn (S),10620,5084,1671,1970,850,682,25,344
  Hindmarsh,  Hindmarsh (S),4093,1262,745,898,465,520,42,150
  Hobsons Bay,  Hobsons Bay (C),58573,34713,6492,7542,2864,4516,975,1469
  Horsham ,  Horsham (RC),13430,5308,2837,2580,1160,1044,39,465
  Hume,  Hume (C),119795,62718,14531,18192,7708,10582,3477,2587
  Indigo,  Indigo (S),10718,4677,1759,2503,760,588,25,400
  Kingston ,  Kingston �,101062,62211,12037,12891,4591,5905,1276,2159
  Knox,  Knox (C),103860,59495,14544,16136,5860,4686,840,2288
  Latrobe,  Latrobe �,48372,18235,9114,10738,4414,3898,278,1699
  Loddon,  Loddon (S),5172,1586,943,1193,577,583,18,263
  Macedon Ranges,  Macedon Ranges (S),29706,16214,4797,4912,1782,1279,81,639
  Manningham,  Manningham (C),78136,52089,7416,7787,3043,5032,1117,1651
  Mansfield,  Mansfield (S),5773,2566,1048,1129,481,353,7,186
  Maribyrnong,  Maribyrnong (C),51104,35854,3601,4212,1744,3427,1263,1006
  Maroondah,  Maroondah (C),73249,42736,10535,10851,3727,3270,649,1482
  Melbourne,  Melbourne (C),68054,58000,3260,2969,974,1227,644,979
  Melton,  Melton (C),80807,44391,10432,13474,5117,4697,996,1698
  Mildura ,  Mildura (RC),35023,12785,5611,8072,3437,3313,425,1384
  Mitchell,  Mitchell (S),25678,10771,4400,5625,2394,1596,98,794
  Moira,  Moira (S),19674,6370,3465,4866,2111,1848,104,915
  Monash,  Monash (C),112972,78512,9269,10288,4011,6872,1692,2330
